video_id,israel_regierung,palaestinenser_zivil,hamas,westliche_staaten
5R6S03XlHak,1,0,-1,1
P00ORoUIysE,-1,,,-1
FhZFt_Wsfy8,0.5,,-1,-0.5
2TpkeMZfWaE,,,-1,1
fiFBiXXfa5E,-1,,,-1
3UxMtJS0bco,-1,,,
tpBnds_47fQ,-1,1,,-1
Iht8YWk-iT0,,,,-1
c00u011BrpQ,1,,,
SgvB4xS4GEY,-0.5,0,-1,
UUOIfUaBFEM,,,-1,
HYt_naVFv_Q,0,,-1,
GHP5vgtB5n0,-1,,,-1
Rvf1HX2jmds,-1,,,-0.5
Q7QV4Cbngxw,,-1,-1,1
jJ05lPOMNh0,0,,,
95bUIGJAfns,-1,,,-1
9bJSbv4OqOA,0.5,-0.5,-1,0.5
QHtf0hX5Dwc,-1,,-1,-1
v3wSldTHrmk,1,-1,-1,0.5
AdW6NlXv-4A,-1,,-1,-1
lXtPgZ7MXiA,-0.5,-1,-1,-1
K9rqCXXv4w8,-0.5,0.5,,
PnZEIpuUHZU,-1,,,0.5
2YW-VyCVIjU,-1,,-1,1
PC2-C__K2LQ,-0.5,,-1,0.5
62Es3mwUxn0,1,-0.5,,0.5
eJt0noRiKUs,-0.5,,,-0.5
km2O0mlH2BQ,1,,,
T9-EHV1Bavc,-1,,,-0.5
Mm5LnSpHzvo,0.5,,-1,0.5
HfgKjGSigGE,-0.5,,,
UglgfD8xC_U,-0.5,,-1,
C-qs-rkVVWM,-1,,,0.5
DLe2X6U7Qyg,-0.5,,,
G73VbyQ30RA,0.5,,-1,-0.5
Aphf2cflsYs,1,,-1,1
BufBTDvjQJA,-1,,,
RyxdW-ql9eo,0,-1,-1,-1
ISlZ_E49R7c,-1,,-1,1
u8inKrinhPE,0.5,,-1,-1
zIXiCmxJWkY,-1,,-1,
9t1ObHnaFTE,-1,,-1,
NRmNGuCSQtY,-1,,,
WegB8DjR28w,-1,,,-1
KQHH5I6bgso,-1,,,0.5
gB20J2UThYE,,-1,-1,
jZoBRKvO5nE,-1,0.5,-1,0.5
sQKKl2Uv7PE,1,,-1,1
wbNYiPmeMCA,0,,,
Xi-OL4SNIl4,-1,1,0,-1
Leh2VJd7DEc,0,,,0.5
nnwlmKnMfpI,-1,,-1,-0.5
B-cZQR8_Ce4,-1,,-1,
2e1CAJRBkaU,1,,-1,-0.5
tVtjclDUrlQ,0,-0.5,-1,-1
vJcNS2p3YyI,-0.5,,,-1
CjyeuZ4GJYw,,,,
4QYfdwOrVg0,0,,-1,
VuDpPAFKrmU,-0.5,,,-0.5
MnmkSY-_jjc,,,,-0.5
5PCDqiLtDz0,-1,,,-0.5
SiaHg6PyFEo,0,,-1,
qPaYY_F7qtk,-0.5,0.5,-1.0,-0.5
aPE-0K8vfJI,-0.5,,-1,0.5
Ry8CsjRIOcg,-1,,,-1
8jcuwSLY-Is,,,-1,1
cnsftn6LjoM,-0.5,,,-0.5
iDGu5Iy8_fo,,-1,-1,
Z2jpRe2ISng,-0.5,,-1,0.5
UMm-IL0Ch4I,-1,1,-1,-1
Ii_kyKgk8r8,0.5,-0.5,-1,
cmNVzhHNW-s,-0.5,,,0.5
QuFNvmGqjbA,-1,,,
-VzoWE1m-80,-0.5,0,-1,0.5
iCuIZ8ZNwjM,-0.5,,-1,
qogJjZaAf3Y,1,,-1,-1
ADXnOq2ES44,,,,
i9-Y3xlPv7w,0.5,0.5,-1,0
0zrYWaZhfHY,-1,,,-1
qF3hNRODJT4,,,,-1
oswucx2mZ0c,-0.5,,-1,0.5
4iYt0E5ZE4g,1,,-1,-1
HRxDJVCAO48,-1,,-1,1
7iu6fZpPogM,-0.5,,,
jOaYEOIMGvU,,,-1,
HeDdhcp2a4k,1,,-1,
q-wvrCYrcfI,-0.5,,,
yHFMVNojcMU,-1,0.5,,-0.5
dyEzKQijmA8,0,,,0.5
H51BVWqa2iw,0,,-1,
qQj1aEa_C6A,1,,-0.5,
3LSbOX64nKQ,-0.5,,-1,0
H_SPZMtjPak,1,,-1,-1
Lcg5Rr83TDs,,,,-0.5
nTxQ_zmUwws,-1,1,,1
71k51iGxyGg,-1,,-1,0.5
TtQ1m6IoeKI,-1,,-1,1
U4DJMLDrHlc,-0.5,,-1,
O_6GCdd125Q,-1,,-1,1
SorQ_Q85ly8,,,,
hUlsdxJO1a0,,,,0.5
XVdh6tIt8I4,-1,,-1,-0.5
ofU1hATwLoc,1,,-1,1
3DRuwp5iovU,,-0.5,-1,-1
Cd0K3rCgAXg,-0.5,,,0.5
N6uoXRItv3U,-1,,,-1
sOQ1NcolTFc,,,-1,
1sU9uq8rG9k,-0.5,,-1,0.5
Uj0ggxnb3rs,-1,,,-1
CcQzxE5fe9Y,-1,,0.5,-1
9QrFxUA8SNw,-1,1,,-1
nZpwUE0KdFA,1,,-1,
f6C6M-oYSHQ,,,,
90efJwa-yQI,0.5,,-1,1
qL-oY9Vg_m4,,,,
4H6LJ3FOs1k,0.5,,-1,0.5
2dnDckqp_D4,0,,-1,
mLFBYDZu2e0,-1,,,-1
hlyvlwQ7Kyw,-1,1,,-1
zLwIxAZaQTA,,,-1,
LNs5uC8tQbc,-1,0.5,,
rPWzfRlJB4U,1,,,1
9IlUmPHQvSU,-1,,,-1
ZJLQT4RYGiM,0.5,,-1,
FrZx7T2dAJU,-1,,,-1
sa8yL05hRDE,-1,,0.5,-1
snjMqUaJf3g,-0.5,,,-0.5
21wxH_p1hzk,-0.5,0.5,-1,-0.5
TAeDOLdjwhI,1,,,-1
48JpapINHNQ,0,,-1,0.5
_U0SocXsBMs,-1,,-1,
FnlrQqwiXF4,-0.5,,-1,
CoARLcA0ht4,0.5,0,-1,-0.5
lNxZwG9oGkk,-0.5,,-1,
33YKz6s37xw,-1,,,
kIoQkNzFi8U,-1,0.5,-1,-0.5
BHifBYzIwho,0.5,,-1,1
PzsoqZjmdrs,-1,,,-0.5
093UKOTIPYc,-1,,-1,-1
g4skp6JGIeY,-1,,,-0.5
rjoYPI0hSDk,-0.5,0,-1,0
5g9mzwqaiWs,,,,
JvG6lf9Usws,-1,,-1,
algfDUkpUpY,0.5,0.5,-1,
GHdLgBCBZqw,-1,,-1,
-suSYFN0bIA,1,-1,-1,0.5
XgGD6xZlnmU,,,-1,
hhB3W36O-UY,,,-1,
KQ0heH-_z7U,0.5,,,
CkVZAye_XGc,1,,-1,-0.5
Fy9jZEVDHAs,0.5,,-1,0.5
4mQae6etzYk,0.5,,-1,
ggwAI-YGxsA,0,,-1,
XvkL8Guf2tM,-1,,-1,-1
v1bqaQWKKlg,,,,-1
hmF8YH2gz5Y,-1,,0.5,1
WhQzdR78dh8,-1,0.5,,
EXMdxaYI9fo,0.5,,-1,0.5
71Ae70tkLeU,,,,0.5
Aj4_CDdJJiA,,,,
jNl_c0uZIFk,-0.5,,,-0.5
_9Pyd41RdEc,0.5,,-1,0.5
YEybKhOmly4,0.5,,-1,0.5
hr-2GnWqc90,,,-1,
jcD-xCkJn80,-1,,,-0.5
1-JHu3Ufpu0,-1,-1,-1,-1
dC18fdnsuG8,0,,-1,
99ofedmJBiM,-1,,,-1
Yhhd8b4aTLo,-0.5,,,0.5
vi2g6RPQGM4,,+0.5,,-0.5
ABBifVngwtU,0.5,,-1,0
VWPdLuXxRpM,,,,-1
9CIxMkaNSDY,-1,,,-0.5
hEk349_5pu4,-1,1,,-1
MzKIpFpPrVw,-1,,-1,0.5
P0yeOu6JXPA,,,-1,-0.5
HRshxSZIMCY,-0.5,-0.5,-1,0.5
30IW9VQtTmE,,,-1,0.5
sWZkfmkFLlM,-0.5,,-1,-0.5
UasRQLNBIRg,-0.5,,-1,0.5
8iOpzlcREVU,-0.5,,,0
YMRL8dwoEKc,-1,,,-1
fK9QMaGyzBY,-1,,,
AeZZIsjIVBY,-1,0.5,-1,0
QQGkPVtpW_Q,-0.5,,-1,
-Y89n7v3vKw,-0.5,,-1,-1
QFDByNUXXK8,-1,,-1,
hhYnM9Vo7w4,-1.0,,-1.0,-0.5
2-kkmvdwqGs,-1,,,-1
1hUe9Y2dcts,0,,,0.5
2coTIk2YH1c,1,-1,-1,-1
nXBfwrUW56A,0.5,,-1,-1
X0Nkte0YhRY,-0.5,,-1,0.5
qncjAWjMr_0,1,0.5,-1,-1
l6L6gcUZIw4,,,,
5HQ6XUCLKGA,-1,,-1,0.5
dWTS8dvQ5cM,0.5,,-1,1
35uxtKmFewI,,,-1,0
QsN0PAdaXis,-1,,,
riMa9mXMRIg,-1,0.5,-1,0.5
ytHbNBPqrfo,-0.5,,-1,1
pEM42a5vlrE,-1,,,-0.5
ZszI3_x6q80,0,,,0
meQgyD5I37Q,-1,,-1,-0.5
ZpMWjKL5nsg,,,-1,
jKCJfXnbeLs,,,,0
3XkKljvw99k,-1,,,-1
L6TBKv4s0no,-1,,,-1
UOwsFMy-eZE,-0.5,,,-0.5
1oqxj0pHdDM,-0.5,-1,-1,-1
USc0xN3hlKI,-1,,,-1
B3fHg3WtRp0,1,,-1,
KlDUz6KTA4g,-1,,-1,-0.5
Eqh4PEqriTc,0.5,,-1,-1
EsvO3zLzngs,0,,-1,0
TKY-4pXcEsU,1,,-1,-0.5
qpp56jJmbas,1,,-1,1
CgHSqIaacRg,,,-1,-1
pIL4QLMv2n0,1,,-1,-1
kSeoaJFfvo8,-1,0.5,-1,
b1-ROarbKPA,,,,
Mf4MO-Wn2-U,,,,
eER9kmebxjQ,-0.5,,-1,-1
747g-vTtgm4,-1,1,,-1
HgSM_LegsH8,-1,,-1,0
eusFk8FLdEg,-1,1,,-1
Yqny2B2gQKM,,,-1,
O7vauzg3pDw,-0.5,0,-1,-0.5
pybsfEYLlkA,0.5,,-1,1
QcNPwHYcACM,1,,,0.5
Xtl-9USAtcg,,,,-0.5
ANjtxSkb_PA,,,-1,
y9AuisP8mLk,0,0,-1,
qnB7yzd1-OQ,-1,1,-1,-1
wJQoDVDMz08,-1,,,
CjcovpF0TAo,-1,,-1,
70jguTIrYtA,-1,,-1,0.5
GUbb_YP2JQk,-1,,,
QOPmDIQJmjo,-1,,-1,
59-6ctBKzL8,-1,,,
bmfqYQTjpeM,-1,1,,-1
DPrLiQjx0AE,-0.5,null,-0.5,+0.5
H8afiwguOXE,,-1,-1,1
pzivMXNeN84,-1,,,-1
AVBp_A0S3Oc,-0.5,,,0.5
EyxqHgrfcfY,,,-1,
suQmWfLm_DI,,,,-0.5
0ce6a8sgLX8,,,,
ov7ym3sYW7Y,-0.5,,-1,
Vfas-jjZjl4,-0.5,,-0.5,1
qK2nS4Cwi-g,0,,0,
9zj5qDAFPBk,0,,-1,
FfP-Bfq6Hpw,-1,,-1,-1
5em67iHNAg4,-1,,,
soCelgOroWQ,,,-1,1
QP4OMH3L9WQ,0,,-1,1
VQgzqJ3ktPM,1,,-1,1
3sPcLlB0EAI,-0.5,,-1,-0.5
hq-IMWAp0kE,1,1,-1,0.5
yZ9r9ddXRSQ,1,,-1,-0.5
PfQyr55SArw,-1,,,
n3WHplH0wCQ,,,,0
09jY0zBTmwU,-1,1,-1,-0.5
_263s26RcX4,0.5,,-1,0.5
lxZ5iQwJRn8,,1,-1,-0.5
oeRhSU1Kje8,,,,
wOH63BbmNxY,0.5,-0.5,-1,
ji7O0oCrJ3U,,,,-1
-HLXsgvutA8,-1,,,0.5
wgEBkXbHj1M,-1,,-1,-0.5
RiZzw6vQs_M,-1,,,
TQomd2k0bwE,0.5,,-1,0.5
Ew17JNzXOmA,-1,,,0.5
Z4fB8RnjZHk,-0.5,,0.5,
x55s8CypAaQ,,-0.5,-1,1
A8ck1l0pQz0,-1,,,0.5
lKmb3FM6fSk,-1,,,-1
FMv8cZ8XQws,,,,
yEZctat7q30,-1,0.5,,1
vN4MsFyLndU,-1,,0.5,-1
Mf4OTEjt6sc,-1,,,-1
wVl4283nLmc,,,,
3d6iBoHQbz4,1,-1,-1,1
qn5QyiAY-SM,0.5,,-1,0.5
OMCMTN1UWtA,0.5,,-1,0.5
1-2SpLMaeo4,0,,,
lHpcBlYSwyk,+1,,-1,0
IJgS_V9Zhpc,1,,-1,1
vWSMqZ3JZQk,-1,,,1
1w5NHey3lzc,-1,,,0.5
AoWus3gKvqk,-0.5,,-1,-0.5
GDbWbr8GE_8,-0.5,,-1,0.5
8ND94ZXDKPA,-0.5,,-1,-0.5
BTc3wj4WyIU,-1,,-1,
J5ykt5Xwe8s,0.5,,,0.5
UkMFVgpnTwY,,,-1,
auvatNtOSSI,,,,
R-u0z2kglis,0.5,,,0.5
sj6GeDrQ09Y,-1,0.5,-1,0.5
9lFdV9d3BMw,-1,1,,-0.5
V2RQMf6asVg,1,0,-1,-0.5
zZGeo6a-uxk,-0.5,,,
wNZhZrTrpbg,0.5,,-1,-0.5
D5DU7yA1xyk,1,,-1,-1
7XYy_9EbpjQ,-0.5,,,-0.5
DgCqdIZB2KQ,-0.5,,-0.5,-1
ladcmJQxgiQ,0.5,,-1,1
_HRGV2m-BTY,0.5,,-1,0.5
H2z7j5W7a_0,-1,0.5,,
ogRqlb6hHMQ,-1,,,-1
gBYaFbYj4NY,-0.5,,-1,
oXx_PKAcY3Y,,,,1
yv_Gdh0Zpbc,1,-1,-1,-1
qxwpAbH4OCQ,-1,,,
_BJZFtUoZwo,-0.5,,-1,
mRvhFzOq2eA,-0.5,,,0.5
CBiNyw1d2Pg,-1,,-1,
Dj0RHhKUA2s,-1,,,
WhuHcMofLzg,-1,,,-1
WO73H1_Ktus,-1,,-1,-1
LCIQplTxQY4,0.5,,,0.5
kVfl7GyGYfM,0,,-0.5,
3PXXdM-mJqE,-1,0.5,,
crt7R9MnKP0,-0.5,,-1,-1
AoAFiF7JvcM,-1,,,-1
sHywwfBG8nA,1,,-1,0.5
rjEh1SRVv_Q,-1,,0,
KHnvi3M_yoo,1,,-1,
x51aUm-Hd6o,-1,,-1,0
ABOhFGIGrh8,1,,,1
KkfzWa0_6N8,-1,,,0.5
iOjlJbVv89s,0.5,,,0.5
kdCLt3BYyNY,-0.5,,,0.5
yX22Y0BhScU,0.5,,-1,-0.5
NxZ3szJdy80,,-0.5,,-1
ZykGloO0Tyw,-1,,-1,0.5
0RAxXYVyBvA,0.5,-0.5,-1,
UDW3XPKlZUc,-0.5,1,-1,-1
Z5zuUCHunBo,1,-0.5,-1,
bhY-gojvpWI,0.5,-0.5,-1,-1
94gZzhzq_T4,-1,,-1,0.5
kKJ-GcF4jBY,0,,-1,
Ygnpw54E2pw,0.5,,-1,0.5
fkatKreDhp8,,,-1,-1
gGJB2PfzdNA,-1,-0.5,-1,-1
jK7na4lLm7A,0,,,0
euVLzPY5Fjw,-0.5,,,
C454vzoWQRo,1,,-1,
itoRkb_nwLs,1,,-1,
y4Z-9VWtvqM,1,,,
Z4iGiFTbrKQ,0.5,,,0.5
_8a13oWq00A,1,,-1,1
UAhAD7vXrdo,-1,,-1,-1
q761LhU42aY,1,-1,-1,-0.5
dqRik8BK16g,-1,,,
Hz_aU9-lc28,1,,-1,
CocGUZQ080I,-0.5,,,
AGxleLrQkxw,-0.5,,,0
2HQWcnivfeM,,,,
_Ap6SHbu33g,-1,,,-1
jmnLCi6fSwM,-0.5,,-1,
rNul6qtJvsA,-1,,,0
DwRxG2EY5MQ,-1,1,-1,-1
x9p3ZwKtbFw,0.5,,,-0.5
Fe976dzGbvE,-1,,,-1
-DSXx5z6y0A,,-1,-1,-1
rra7Hw2XIEc,,,,
PQrxvVstjjM,0,,,0
NI9PjaMbzOU,,,,-1
y0w1kr2O_x8,-0.5,,,1
R1tS5nXPuis,0.5,,-1,0.5
EfFWcGi357E,1,-0.5,-1,-1
tZvAn5EjYFc,-0.5,-1,-1,-1
h6l4HCTU5RM,-0.5,,-1,-0.5
qb4udXPtvIY,0,-1,-1,-0.5
rusl4w5UPJc,0.5,,,0.5
2iJlmNetaxU,-1,,-1,0.5
MdZUkFCiDa8,0,,-1,-1
aT6NKQHRfPU,-1,,,1
1299xbb3e_Q,,,-1,-1
OV28MH9o9ak,0.5,,,1
kxYKOervlU4,-0.5,,,
72mGLlNO3u0,0,0.5,-1,1
14NMogI3iNY,-1,,-1,-1
ulK88vcgaB8,-1,,,-1
jJTu3NKPLho,0.5,,-1,0.5
ZIJcpaqoll8,0,,-0.5,
9hfZB_TURR4,-1,,-1,-1
dU2IVRKr5CA,1,,-0.5,-1
kP7v52nn3UI,-1,1,,-1
UMmF34OMiSE,0,,-1,0.5
FPvXDYjXQU0,0.5,,-1,0.5
RuvQ9M24N7A,,0.5,-1,0.5
aG_syluVZ2M,1,,,-0.5
K9BzbHz-U0c,-1,0.5,,-0.5
av2xR_DUPEU,-0.5,,,-0.5
d9N43SiFc78,,,-1,-1
inFZWP77eU0,0.5,,,0
Su_O_Yc8vPo,-1,,,
J51jM4O9jbI,-0.5,,-1,-1
LfrBIfXgLl4,0.5,,,
T8ww1NLv5PU,1,-0.5,-1,-0.5
KUyMBqS1H3I,-1,,-1,-1
63ZOD2aKHfE,-0.5,,-1,
N7rjSb9Vai8,0.5,,,0.5
nmEsbam-EgY,-1,0.5,-1,
igm6Av3Kj4w,-1,,,
GYmDayvifWI,-0.5,,-1,0.5
pkzLLVDl6HU,-0.5,,-1,0.5
npKdAAQPstY,-0.5,,-1,-1
Mu8pOmCPQcA,-0.5,,,-1
lPWqXhxhBT0,-0.5,,-1,
UyNtcrtBQaY,-1,,-1,
0o4T7SzXBiw,1,,-1,0.5
J0jlyUvLH44,-0.5,,,-0.5
3q67eJKmiv4,-0.5,,,-1
WAEXr5J_G6E,-0.5,,,
dwqFmV3puBQ,0.5,,,0.5
UtZZsVyoN6E,0.5,,-1,-0.5
QAVfuwou9IE,0,,,
b9FwdhXQEvo,0.5,0.5,-1,1
uPShMaurKos,-0.5,1,-1,1
GMFaPd-EOwg,-1,1,,-1
zvfhQE_MbeI,0,,-1,-0.5
DBp9nKECTLI,1,,-1,1
ni7KhNYql5o,-1,-0.5,-1,-1
NQQRpthbhZw,0.5,,-1,1
lsp-I29a8uA,0.5,,,
WU7faWfPLo4,+0.5,,-1,0
mKubLRqvkbc,-0.5,,,
VCZgwrXn1mc,0,0,-1,
v82Ge-8YqQE,0.5,,0.5,
bz8yROTCV0k,-1,,,0
UDj9IYBBDW8,0.5,,-1,1
sw3UjIkQOKI,0,,,
6kuoV-oSPpY,0,,-1,
3bnm-4MKYaY,-1,,-1,-0.5
eryEA-_yEho,0,1,-1,
AKbR9lvSl1Y,0.5,-1,-1,-0.5
0h0RdRKxm9w,1,,-1,-1
O-d0dsJHXbE,-0.5,,,
lFu_LgFQGTw,-0.5,,,-1
BdsdXMa-k1M,-0.5,,,-1
chvb8Pwud18,,,-1,1
ycJMGpvcsEg,-1,,-1,0.5
Py2iEmWj2uA,,,-1,
7-6YQsf_xco,-1,,,-1
-b2MhD3CxbU,0.5,,-1,
7ldZFLTPkuM,,,,-1
pDwzAp5C6dM,-1,,,0.5
oOrIENJ2UTs,1,,,-0.5
nGKZrsCWYgU,-0.5,,-1,1
4tanUUiusd0,,,,-1
pxPdW1T4Lx4,-1,,,-1
hi1koDT0ljo,,,,
RsZEJcBD0j8,,,,-1
KzyEZkHf2Pk,0.5,null,-1,-1
CGm69S36ioQ,-1,,,-1
evbrQmVXeJg,1,,-1,-0.5
AdOSYbuPQds,-1,,-1,-1
qBj1-4VnpmI,0,,,-0.5
Hju_Xko885k,-1,1,0.5,-1
5N9AEazNgZA,0.5,,-1,
b_plYnB8-8I,0.5,,,
tZ9ItOVokFw,-1,,,
BZj6YxUeAsA,-1,1,,-1
oLY_i7emJzA,-1,,-1,
tsYiP9s1J2E,-1,,-1,0.5
ZjQlnGQ0n4c,-1,,,
1-gMKVpvXLQ,-1,,0,-1
O4SYwvj6s-0,0.5,,-1,0.5
nov8WH98GxU,1,,,0
g7SAq0s6AjM,1,-1,-1,-0.5
vOau7-FpM_Y,0,0,0,-0.5
9sevu9JJiWY,1,,,
0IMJuLu--vw,0.5,,,0
H5orjg72h14,-1,1,-0.5,-1
_qOPLUS_9XU,-1,,-1,0
HNHRR6UFnww,-0.5,,-1,0
m01FmZIpIMU,1,-0.5,-1,-0.5
dsRQ78G-t9A,-0.5,,-1,0.5
OyCefUYfz58,0,,-1,-1
wC03YlsiyyA,-1,,,0.5
aY0H23EeeLE,,,-1,
8VlLvA6p008,-0.5,,-1,1
cOb4YuJhCQg,0,,-1,
_q6iGE3YAsY,0.5,,-1,0.5
ej6vbSWBzho,-1,0.5,-1,-0.5
V_h6Gvty7mo,-0.5,,0,0
HrQImXIWjNc,,,-1,0.5
o-aU2IM-Lr8,-0.5,,-1,-1
_GPbVcBDZao,,,-1,
FaWvURLc1eM,-1,0.5,,-0.5
5x_Kd2eWpYA,-1,,,0
BiqirApeosw,-1,,,-1
pbox7LVhtsA,1,,,0.5
mW7XY1BrO0o,,,,
P58QVyf5WIU,-0.5,,,-1
Gls2qp-LYtk,,,-1,1
BE_cUyngAy0,1,,,
FEY2y3W4GFQ,0.5,,-1,
dUmm0yZ30Z0,,,,
NhakZp2AqL0,-1,0.5,-1,
7N2JR8-qsRM,,,,
bDIUjO_l0dg,-1,,,-1
58oA-hCiQ2s,0,,-1,
IoxzSnAv050,-0.5,,-1,0.5
H7iTXatR4L0,-1,,-1,0.5
EC7hIJcU_tU,0,,-1,1
snv1_tmKyeU,,,,
PbAXGLv9HZg,-1,,-0.5,0.5
4kIi3klbo1Y,-0.5,,-1,1
yBpr8tpmPOo,0.5,-0.5,-1,-0.5
VIORMz1QKGY,,,,-1
eWVeU18g19o,0.5,,-1,0.5
AAq0udoquBU,-1,,-1,-0.5
CSZK6gtkADI,-1,,,-1
ZOzp0By1Bmg,,,,
rTy_9IxxXqo,0.5,,-1,-0.5
eQlfJivGGZA,0.5,,-1,0.5
oyQxs5c-KoQ,,-1,,0.5
070rJdNNZaU,-1,,,
3aVTCqKIt_c,-0.5,,-1,
hWSU1xWrtkw,1,-0.5,-1,-1
NIA_zY_2538,-1,,1,0.5
jjpMC-9CC6Y,,,,
u966ZDGddb4,,,-1,1
G8qVISe5kG4,0.5,,-0.5,0.5
R701b1rUAMM,-0.5,,,0.5
RaRfevqXuUo,-0.5,,-1,1
85_3XBq87GA,,,,-1
u6nY8sfx_yA,,,,-1
JXk_eEQlU-I,,,-1,
RqnoqybPxpo,-1,0,-1,-1
ge5pBR6_5G8,0,,-1,
BKgGi2x4CiY,-0.5,,,0
UCVGBO5jhq0,-0.5,,,-0.5
19lqhzQind0,-1,1,-1,-0.5
l8nD94bb-Rs,1,,0,-1
I0AEjOMzI88,-1,0,-1,
30iysUV5MUE,1,,-1,1
lVwdQih8Msw,-1,-1,,-1
N5mtJY7GJVY,-1,,-1,-1
qtoYMSANJHE,-1,1,,-0.5
xOZSaOLEpL4,-1,,,1
34tNt2oFnf4,,,,
DMRu77LX-qs,0.5,,-1,0.5
OXsuBU8tC8g,-1,,,-1
Xfz9gFr3BtU,-0.5,,-1,-0.5
qgSHrF4nKK8,-1,,0,
7jc2anEmLn0,-1,,,0
zeInZ-MRTn8,,,,-1
bE_L6joN_oo,,,,
NvQYNcHhj7c,1,,-1,1
D3R4VbgFawM,-0.5,,-1,1
ikb7jAN3Phk,-1,1,1,-1
ix93ojZfVCI,,,,-1
MUP2waBES30,-0.5,,-1,0.5
ihq79iHsYSg,,,,
E0hPyRGo1gs,-1,,-1,-1
cXTwWSOtd0Q,-1,,-1,0.5
rDZDh9dbljQ,-1,,,-0.5
Z3VeYvFLGsU,-1,,-1,
yWcATc_-hFc,-1,,-0.5,-1
hnAxNlDFiAQ,,-1,-1,-1
eO2IRIE01s4,0,,,-1
XuRde-_opVo,-1,,,
wTrgmy69ZaM,-0.5,,-1,
zdxQW1y2kCs,-0.5,,-1,-0.5
2pcKCpHr3qg,-0.5,,0,
ycHC9Agax-I,+1,,,
aPBB6C231UU,-1,,-1,
vwoCR1Szy0g,-1,,-0.5,-1
IfBOzePpOhs,,,-1,
CPMRKxReVcQ,-0.5,,-1,0.5
hC4tLsG1ufU,-0.5,1,-1,1
asEdQcPLisQ,-0.5,,-1,1
dnhJ5Ixk800,0,,-1,0
6MzhhOpi_2s,-1,0.5,0.5,-0.5
o--SHaW0Pkg,-1,,,
VINHUpZkajQ,-1,0.5,-1,-1
-aWOAWkzFos,-1,,,-1
JKQLGrEvwiE,-1,,,0.5
Lfud-POYxq8,-1,,-1,-0.5
NMS1kpp-OEw,1,,-1,-0.5
vZSwrEQayXE,-0.5,,,0
RL-D0k0XPz4,-1,,-1,-1
qGlS3oKx5Gw,0,,-1,1
EhBmPwy0CQk,-1,0,-1,-0.5
SrRorBWr000,-1,0.5,,1
KTpmmcjc_WQ,,,-1,1
PNPAhiGX2H0,1,,-1,0.5
d4KYVYDIB4I,0,,-1,
80ugWF1n948,-0.5,-0.5,-1,
ebHhdhF7C1A,-1,,,-0.5
ddLoOuVrEnc,-1,0.5,,-1
sYicv-HtneY,1,,-1,-1
Vk56V_8w0U0,-1,,,-1
tM6AR8PIZ-k,-1,,,
kOtyZCYbuUM,1,,-1,-1
ea95mGnM2CA,0.5,,,0
k4VDhTkk9bI,-1,,-1,-1
4E_hj_zlyNo,-1,-1,0,-0.5
VRU4WvnwSHc,-0.5,,,1
tyhr4bHFv-k,,,,
sxxJdLxG2cA,-0.5,,-1,0.5
dPu6aAtkO5I,0,,-1,
0AXJwuNID_w,,,-1,-1
CzgrdeqS00Y,0.5,,-1,
mD5Qj3BhVAo,-0.5,,,0
RCb6uRHC1aQ,,,,-0.5
FY9HObhKcm0,-1,,,-1
iG5qk7wWNvs,,,,-0.5
smJRY4pmvOE,-1,0.5,,
rPtYDjPLwi4,-1,,,-1
hYl1YYxfBGQ,-1,,,0.5
ARKt9VndsLk,-1,,-1,1
idEatEtkU4o,0,,-1,
7wf-J1SC5dc,1,-1,-1,-1
rvPmh3OU2V0,-1,1,,-1
1a1-1LdSd7M,-0.5,,,
K75p1ZdrPes,1,,-1,
1yXihfpYVRE,-1,,-1,1
ieavrkpGq7o,-0.5,,,-1
tBXSDTjNgEQ,-1,,-1,-0.5
M6HGmjRt5zU,0.5,,-1,
QUtKZb7d_SY,-1,,,
SqB5WXT8SSQ,-0.5,,,0.5
gmPqZkpM2wo,,,,
HQ4Yfo1IMAg,-0.5,,-1,0.5
B9d5v--n47c,-0.5,,-1,0.5
adq3Jfm6K6A,0.5,,,-0.5
eoqRnbnuQx8,-0.5,,,-0.5
OPrOhC-P0tM,,,-1,-0.5
ggeMP1rA3Bo,-1,,-1,-1
dEpG4tdFHdg,-0.5,1,-1,0.5
cXL4KVc-lec,0.5,,-1,1
eOdsYgJRahk,-1,,-1,1
2SO0jx5Wt3U,-1,0.5,0.5,-1
Hkh8knoAmtg,1,,-1,-0.5
W2W-55InlRI,-0.5,,-1,
I-eiJ91jifo,,,,-1
3eSy7ZN8ImU,-0.5,1,-1,0.5
6FlPHpCEwL8,-0.5,,,-0.5
UHP2o2LUU1Y,-1,,,-1
ThWhd0ZZ58E,-1,,-1,-0.5
VOeg6EziXmw,,,-1,
uPKGjGfCjII,-1,,-1,1
aw8Afmu533Y,-1,1,,-0.5
gnyyeXYTszY,-1,,,
mkBuvZGPWW4,-1,,-1,0.5
aqFQo7kScqo,,0.5,-1,0.5
l5Hr5Vvpqww,1,,-1,1
aIOetwJnPsc,-1,1,,-1
Dyj2FRh1NG4,-0.5,,,-1
1kUXrqKQ8Qc,-0.5,1,,
swsy3CiIPIU,-1,,0.5,-0.5
7mdReP_6dIU,,,,-1
hrhI0VwZXfM,0.5,,0.5,0.5
g_-1sowQFsg,,,,1
TAMgSeJUXXc,-0.5,,,-1
ZAZ0rMfRbiM,,,,
qcY5MhOLY6E,,,-1,1
FhBHY8M31aM,0,-0.5,,
